ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,ΣΥΡΙΖΑ,ΘΡΑΨΑΝΙΩΤΗΣ ΕΜΜΑΝΟΥΗΛ του Μιχαήλ,ΚΑΖΑΜΙΑ ΕΙΡΗΝΗ του Εμμανουήλ,ΠΛΑΚΑΝΤΩΝΑΚΗΣ ΝΙΚΟΛΑΟΣ του Παναγιώτη,ΣΤΑΥΡΑΚΑΚΗ - ΛΟΥΤΡΙΑΝΑΚΗ ΧΡΥΣΗ του Δημητρίου,Νέα Δημοκρατία,ΛΑΓΚΩΝΑΚΗ ΜΑΡΙΑ (ΜΑΙΡΗ) του Εμμανουήλ,ΠΑΠΑΒΑΣΙΛΕΙΟΥ ΝΕΚΤΑΡΙΟΣ του Θεόφιλου,ΠΑΠΑΚΑΛΟΥΣΗ - ΔΙΑΛΥΝΑ ΜΑΡΙΑ (ΜΑΙΡΗ) του Αχιλλέα,ΠΛΑΚΙΩΤΑΚΗΣ ΙΩΑΝΝΗΣ του Ιωσήφ,Λαϊκός Σύνδεσμος - Χρυσή Αυγή,ΣΥΚΙΩΤΑΚΗΣ ΙΩΑΝΝΗΣ του Γεωργίου ,ΣΥΜΕΩΝΑΚΗ ΣΤΕΦΑΝΙΑ του Χριστόφορου,Κίνημα Αλλαγής,ΑΝΔΡΟΥΛΑΚΗ ΑΝΑΣΤΑΣΙΑ (ΣΟΥΛΑ) του Νικολάου,ΕΙΚΟΣΙΠΕΝΤΑΚΗΣ ΘΕΟΦΑΝΗΣ (ΦΑΝΗΣ) του Αντωνίου,ΚΛΩΝΤΖΑΣ ΕΜΜΑΝΟΥΗΛ του Μιχαήλ,ΨΥΛΛΙΝΑΚΗ - ΜΑΓΟΥΛΗ ΘΕΟΚΛΕΙΑ (ΚΛΑΙΡΗ) του Μιχαήλ,Κ.Κ.Ε.,ΑΒΔΗ ΕΛΕΝΗ του Ρωμύλου,ΔΑΛΑΒΕΡΟΥ - ΚΑΡΥΔΗ ΕΙΡΗΝΗ του Ιωάννη,ΣΠΗΛΙΑΡΩΤΗΣ ΓΕΩΡΓΙΟΣ του Νικολάου,ΣΥΜΕΩΝΙΔΗΣ ΣΥΜΕΩΝ του Κωνσταντίνου,Ένωση Κεντρώων,ΑΠΟΣΤΟΛΙΔΟΥ ΒΑΣΙΛΕΙΑ του Χαραλάμπους,ΑΡΜΕΝΑΚΗΣ ΜΑΡΚΟΣ του Νικολάου,ΚΑΠΑΝΤΑΪΔΑΚΗ ΠΑΝΑΓΙΩΤΑ του Χαραλάμπους,Ο.Κ.Δ.Ε.,ΚΤΙΣΤΑΚΗ ΜΑΡΙΑ του Γεωργίου,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΚΕΡΟΥΛΗΣ ΕΜΜΑΝΟΥΗΛ του Ιωάννη,ΤΖΙΚΑ ΕΛΕΝΗ του Ιωάννη,Ελλήνων Συνέλευσις,ΒΑΣΙΛΑΚΗ ΜΑΡΙΑ του Κωνσταντίνου,ΚΟΥΝΔΟΥΡΑΚΗΣ ΜΑΡΙΟΣ του Γεωργίου,ΠΕΔΙΑΔΙΤΗΣ ΜΙΧΑΗΛ του Γεωργίου,ΣΙΑΓΚΑ ΕΥΑΓΓΕΛΙΑ του Σταμάτη,Ελληνική Λύση - Κ. Βελόπουλος,ΓΕΝΕΙΑΤΑΚΗΣ ΙΩΑΝΝΗΣ του Νικολάου,ΞΕΡΑΚΗ ΠΑΡΘΕΝΑ του Βασιλείου,Κ.Κ.Ε. (μ-λ),ΔΕΛΟΓΚΟΣ ΘΕΟΔΩΡΟΣ του Ευστρατίου,ΠΑΞΙΜΑΔΑΚΗ ΚΑΛΛΙΟΠΗ του Επαμεινώνδα,Μ-Λ Κ.Κ.Ε.,ΚΟΡΝΑΡΟΣ ΜΙΛΤΙΑΔΗΣ του Γεωργίου,Ε.ΠΑ.Μ - Α.Κ.Κ.ΕΛ,ΓΙΑΝΝΙΚΑΚΗ ΠΑΝΑΓΙΩΤΑ του Ιωάννη,ΕΥΑΓΓΕΛΙΔΑΚΗΣ ΑΓΓΕΛΟΣ του Ιωάννη,ΚΟΥΤΑΝΗ ΜΑΡΙΑ του Γεωργίου,ΜΑΥΡΙΚΑΚΗΣ ΕΜΜΑΝΟΥΗΛ του Ιωάννη,Λαϊκή Ενότητα,ΜΑΡΚΑΚΗΣ ΕΜΜΑΝΟΥΗΛ του Συμεών,ΧΡΙΣΤΟΔΟΥΛΟΠΟΥΛΟΥ ΚΑΛΛΙΟΠΗ (ΚΑΛΗ) του Χρήστου,ΜέΡΑ25,ΖΩΓΡΑΦΑΚΗΣ ΔΗΜΗΤΡΙΟΣ του Ιωάννη,ΜΠΟΥΡΛΑΚΗ - ΚΥΡΟΥΔΗ ΝΕΦΕΛΗ του Παράσχου,Δημιουργία ξανά - Θ. Τζήμερος,ΑΝΔΡΟΥΛΙΔΑΚΗΣ ΜΑΤΘΑΙΟΣ του Γεωργίου,ΜΑΥΡΟΥ ΕΛΕΝΗ του Δημητρίου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΚΡΥΣΤΑΛΑΝΤΟΥ ΠΟΛΥΞΕΝΗ του Αναστασίου
56 - Λασιθίου,52 E.T. Δήμου Αγίου Νικολάου,133,81,0,0,0,81,52,38,0,6,0,10,0,1,4,1,1,0,0,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0
56 - Λασιθίου,53 E.T. Δήμου Αγίου Νικολάου,196,113,0,0,0,113,21,13,0,1,0,59,0,3,0,51,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
56 - Λασιθίου,54 E.T. Δήμου Αγίου Νικολάου,328,204,5,1,6,198,59,40,2,2,5,92,1,37,22,18,3,0,0,23,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,1,0
56 - Λασιθίου,55 E.T. Δήμου Αγίου Νικολάου,98,60,1,0,1,59,11,6,2,1,0,20,0,1,0,18,2,0,1,17,6,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,4,4
56 - Λασιθίου,56 E.T. Δήμου Αγίου Νικολάου,302,193,0,0,0,193,60,40,3,3,0,54,2,12,5,28,4,0,0,57,0,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0
56 - Λασιθίου,57 E.T. Δήμου Αγίου Νικολάου,210,122,0,2,2,120,52,32,3,4,3,42,3,1,0,34,4,0,0,13,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
56 - Λασιθίου,58 E.T. Δήμου Ιεράπετρας,489,334,8,3,11,323,110,17,4,18,43,105,2,62,0,31,5,0,0,31,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,11,0,0,0,0,0,0,0,5,0,0,0,0,2,0,0,18,0,0,4,0,0,7,0
56 - Λασιθίου,59 E.T. Δήμου Ιεράπετρας,517,298,6,2,8,290,111,31,1,8,42,96,0,57,1,33,3,1,1,41,3,0,2,33,13,3,1,3,3,1,0,0,1,0,0,0,0,0,2,0,0,0,2,9,6,0,1,0,1,0,0,2,2,0,0,0,0,0,0,8,5,2,1,0,0,2,1
56 - Λασιθίου,60 E.T. Δήμου Ιεράπετρας,518,301,5,0,5,296,86,21,5,9,33,126,2,71,1,44,8,0,0,41,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,4,0,0,4,0
56 - Λασιθίου,61 E.T. Δήμου Ιεράπετρας,525,293,7,3,10,283,104,15,5,14,37,93,2,60,1,23,1,0,0,33,2,1,5,22,10,1,1,3,1,3,0,0,0,0,0,0,0,0,1,0,1,0,0,11,8,0,1,0,0,0,0,3,0,1,0,0,6,0,5,13,3,2,0,0,0,4,1
56 - Λασιθίου,62 E.T. Δήμου Ιεράπετρας,522,332,7,1,8,324,108,25,11,19,39,99,2,60,1,28,2,0,0,57,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0,2,0,0,2,0,0,0,0,10,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,11,0,0,0,0,0,11,0
56 - Λασιθίου,63 E.T. Δήμου Ιεράπετρας,503,305,10,4,14,291,106,21,3,17,42,104,1,64,0,33,5,0,0,32,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,12,0,0,2,0,0,6,0
56 - Λασιθίου,64 E.T. Δήμου Ιεράπετρας,519,334,14,2,16,318,112,20,3,15,40,126,1,92,2,21,2,0,0,32,0,0,0,0,8,0,0,0,0,5,0,0,0,0,0,2,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,11,0,0,6,0,0,5,0
56 - Λασιθίου,65 E.T. Δήμου Ιεράπετρας,523,302,10,1,11,291,108,25,4,9,48,90,0,57,1,16,4,0,0,40,0,0,0,0,13,0,0,0,0,3,0,0,0,2,0,2,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,10,0,0,5,0,0,4,0
56 - Λασιθίου,66 E.T. Δήμου Ιεράπετρας,504,282,2,2,4,278,100,18,5,15,37,98,0,69,0,25,2,0,0,31,0,0,0,0,14,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,12,0,0,3,0,0,7,0
56 - Λασιθίου,67 E.T. Δήμου Ιεράπετρας,518,295,2,2,4,291,101,15,8,11,35,99,1,62,1,25,6,3,1,36,3,1,2,28,9,3,0,2,1,2,1,0,0,0,0,1,0,0,4,0,1,0,3,2,1,0,0,0,0,1,1,4,0,1,0,2,1,1,0,21,3,5,2,1,0,2,1
56 - Λασιθίου,68 E.T. Δήμου Ιεράπετρας,515,301,7,0,7,294,87,19,3,10,25,104,1,51,1,40,8,0,0,37,0,0,0,0,8,0,0,0,0,4,0,0,0,1,0,1,0,0,3,0,0,0,0,11,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,19,0,0,1,0,0,5,0
56 - Λασιθίου,69 E.T. Δήμου Ιεράπετρας,531,303,5,5,10,293,117,34,10,8,43,105,5,65,0,35,4,2,0,35,2,1,3,29,11,2,1,1,3,0,0,0,0,2,0,1,1,0,0,0,0,0,0,4,4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,8,1,2,1,1,0,4,4
56 - Λασιθίου,70 E.T. Δήμου Ιεράπετρας,529,264,9,3,12,252,106,29,9,12,34,88,0,49,1,35,1,1,0,21,5,0,0,13,7,0,0,2,2,3,1,0,1,0,0,0,0,0,1,0,1,0,0,8,6,1,0,0,0,1,0,1,0,0,0,1,2,0,1,12,4,0,0,0,0,1,0
56 - Λασιθίου,71 E.T. Δήμου Ιεράπετρας,521,309,2,1,3,306,92,20,7,9,33,121,0,65,1,41,3,2,1,36,4,2,3,19,17,0,1,6,2,4,1,0,1,0,0,0,0,0,0,0,0,0,0,7,3,1,2,1,1,1,0,4,0,0,0,1,3,0,3,7,1,3,2,2,0,7,3
56 - Λασιθίου,72 E.T. Δήμου Ιεράπετρας,533,321,2,1,3,318,107,22,6,28,25,99,0,59,3,31,9,6,1,45,3,0,2,34,10,0,0,5,2,3,1,2,0,2,1,0,0,0,1,0,1,0,0,16,12,0,0,0,0,0,0,2,0,0,0,1,1,1,0,17,6,2,0,0,0,6,4
56 - Λασιθίου,73 E.T. Δήμου Ιεράπετρας,537,288,2,1,3,285,94,19,6,10,59,109,1,63,0,39,3,0,0,38,0,0,0,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0,6,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,0,0,6,0,0,0,0
56 - Λασιθίου,74 E.T. Δήμου Ιεράπετρας,527,313,2,3,5,308,105,25,3,14,38,91,1,55,2,27,5,0,0,47,0,0,0,0,5,0,0,0,0,6,0,0,0,1,0,2,0,0,2,0,0,0,0,11,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,22,0,0,3,0,0,3,0
56 - Λασιθίου,75 E.T. Δήμου Ιεράπετρας,516,297,10,1,11,286,95,13,8,14,28,118,1,64,1,41,5,3,1,21,1,0,5,11,6,2,1,1,0,2,0,0,2,0,0,0,0,0,5,1,0,0,4,10,8,1,0,0,0,0,0,3,0,1,0,1,2,0,1,10,1,3,2,2,0,7,4
56 - Λασιθίου,76 E.T. Δήμου Ιεράπετρας,525,302,11,3,14,288,99,17,6,16,37,97,1,59,0,35,6,2,0,41,2,2,6,26,8,2,0,4,0,2,0,0,1,0,0,1,0,0,5,0,0,0,0,7,0,0,1,0,0,0,0,5,0,0,0,0,2,0,0,5,0,0,2,0,0,7,0
56 - Λασιθίου,77 E.T. Δήμου Ιεράπετρας,520,315,1,2,3,312,96,10,6,13,29,103,2,59,0,30,9,0,0,47,0,0,0,0,7,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,18,0,0,5,0,0,7,0
56 - Λασιθίου,78 E.T. Δήμου Ιεράπετρας,516,309,6,1,7,302,115,26,5,17,39,96,0,56,0,34,4,0,0,46,0,0,0,0,2,0,0,0,0,7,0,0,0,0,0,0,0,0,2,0,0,0,0,9,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,11,0,0,0,0,0,4,0
56 - Λασιθίου,79 E.T. Δήμου Ιεράπετρας,285,214,6,0,6,208,79,18,1,5,38,85,0,34,0,39,0,0,0,16,4,0,0,11,2,0,0,1,0,2,0,1,0,1,1,1,1,0,0,0,0,0,0,6,4,0,0,0,0,0,0,8,1,1,0,1,1,0,1,3,3,0,1,0,1,3,1
56 - Λασιθίου,80 E.T. Δήμου Ιεράπετρας,370,260,3,2,5,255,80,26,2,8,28,89,2,38,3,45,3,0,0,55,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0
56 - Λασιθίου,81 E.T. Δήμου Ιεράπετρας,389,232,2,2,4,228,52,12,2,9,23,91,0,34,0,46,0,0,0,56,8,1,3,40,5,1,0,0,1,1,0,0,0,0,0,2,0,2,2,0,2,0,0,10,6,2,0,0,0,0,0,0,0,0,0,0,1,0,0,7,2,1,0,0,0,1,1
56 - Λασιθίου,82 E.T. Δήμου Ιεράπετρας,318,216,1,2,3,213,67,18,2,10,24,85,6,37,4,31,2,0,0,33,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,6,0,0,0,0,0,3,0
56 - Λασιθίου,83 E.T. Δήμου Ιεράπετρας,300,190,2,1,3,187,69,30,7,5,23,71,1,37,1,25,0,0,0,25,0,3,2,19,4,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,2,0,0,7,5,0,0,0,0,0,0,2,1,0,1,0,0,0,0,3,1,1,0,0,0,3,3
56 - Λασιθίου,84 E.T. Δήμου Ιεράπετρας,472,317,10,4,14,303,65,20,3,7,18,112,6,64,1,37,5,0,0,57,0,0,0,0,8,0,0,0,0,2,0,0,0,0,0,4,0,0,9,0,0,0,0,15,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,16,0,0,1,0,0,5,0
56 - Λασιθίου,85 E.T. Δήμου Ιεράπετρας,435,291,5,1,6,285,66,23,3,15,18,94,4,42,1,40,4,2,1,69,12,3,7,43,4,0,1,1,1,1,0,0,1,1,1,1,0,0,2,0,1,0,1,14,9,0,0,0,0,0,0,6,0,0,0,1,3,0,2,14,11,0,3,3,0,3,1
56 - Λασιθίου,86 E.T. Δήμου Ιεράπετρας,451,246,6,1,7,239,95,19,6,10,41,50,1,29,1,17,4,3,0,54,4,3,5,38,6,1,1,1,1,1,1,0,0,0,0,2,0,2,6,0,5,0,1,3,2,0,0,0,0,0,0,1,0,0,0,0,1,0,1,13,3,6,1,0,1,2,1
56 - Λασιθίου,87 E.T. Δήμου Ιεράπετρας,420,207,1,1,2,205,81,11,4,7,44,57,0,26,2,27,0,0,0,36,3,2,2,24,3,0,0,2,1,2,0,0,1,0,0,1,0,0,6,0,2,0,3,9,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,1,2,0,1,2,1
56 - Λασιθίου,88 E.T. Δήμου Ιεράπετρας,110,58,0,0,0,58,19,3,1,4,8,25,0,17,1,7,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
56 - Λασιθίου,89 E.T. Δήμου Ιεράπετρας,330,211,5,0,5,206,77,11,0,49,9,45,0,16,0,27,2,0,1,41,5,1,15,15,26,0,0,25,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,1,1,0,7,6,1,0,0,0,3,2
56 - Λασιθίου,90 E.T. Δήμου Ιεράπετρας,338,199,2,0,2,197,78,12,1,45,8,66,1,18,0,43,0,0,0,18,0,0,0,0,20,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,6,0,0,0,0,0,1,0
56 - Λασιθίου,91 E.T. Δήμου Ιεράπετρας,353,191,4,0,4,187,59,15,4,8,16,32,1,11,0,18,1,0,0,63,0,1,3,58,2,1,0,0,0,2,1,0,0,0,0,0,0,0,1,0,1,0,0,19,19,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,3,0,1,0,1,2,1
56 - Λασιθίου,92 E.T. Δήμου Ιεράπετρας,357,203,5,1,6,197,51,15,5,13,12,60,2,26,0,31,0,0,0,65,0,1,0,61,1,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,12,11,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,2,0,0,0,0,1,0
56 - Λασιθίου,93 E.T. Δήμου Ιεράπετρας,398,259,1,0,1,258,84,39,3,12,14,89,0,48,3,34,7,3,2,33,1,4,3,19,13,2,1,5,2,3,1,0,0,0,0,0,0,0,8,1,2,0,5,7,5,1,2,2,0,0,0,3,2,0,0,1,1,1,0,5,1,1,2,0,0,1,1
56 - Λασιθίου,94 E.T. Δήμου Ιεράπετρας,441,271,2,1,3,268,100,40,7,11,20,83,1,50,2,25,3,0,0,38,0,0,0,0,20,0,0,0,0,0,0,0,0,3,0,2,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0
56 - Λασιθίου,95 E.T. Δήμου Ιεράπετρας,413,269,2,2,4,265,78,30,4,10,14,103,1,50,1,45,5,0,0,43,0,0,0,0,4,0,0,0,0,4,0,0,0,1,0,1,0,0,3,0,0,0,0,4,0,0,2,0,0,2,0,2,0,0,0,0,1,0,0,9,0,0,0,0,0,3,0
56 - Λασιθίου,96 E.T. Δήμου Ιεράπετρας,214,156,0,0,0,156,44,12,3,4,14,57,0,35,0,14,7,0,0,27,0,0,0,0,5,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0
56 - Λασιθίου,97 E.T. Δήμου Ιεράπετρας,470,226,0,2,2,224,56,15,1,7,21,72,3,30,4,29,5,2,2,51,6,0,4,32,2,0,0,1,0,2,1,0,1,0,0,2,0,0,1,0,1,0,0,14,10,2,0,0,0,0,0,3,0,2,0,1,1,0,1,4,1,1,3,1,1,8,1
56 - Λασιθίου,98 E.T. Δήμου Ιεράπετρας,180,109,0,1,1,108,37,15,2,0,7,24,1,12,0,11,0,0,0,28,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0
56 - Λασιθίου,99 E.T. Δήμου Ιεράπετρας,93,42,0,0,0,42,9,2,1,1,3,14,0,6,0,3,0,0,0,14,2,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
56 - Λασιθίου,100 E.T. Δήμου Ιεράπετρας,119,62,1,2,3,59,21,4,1,4,7,18,0,6,0,11,1,0,0,14,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
56 - Λασιθίου,101 E.T. Δήμου Ιεράπετρας,402,283,2,1,3,280,75,9,2,7,30,146,0,58,1,78,8,0,0,30,0,0,0,0,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,1,0,0,4,0
56 - Λασιθίου,102 E.T. Δήμου Ιεράπετρας,461,278,2,3,5,273,96,19,3,13,32,92,0,44,0,45,2,0,1,37,4,0,1,24,8,1,2,1,1,0,0,0,0,1,1,0,0,0,6,0,2,2,1,9,5,0,0,0,0,0,0,4,0,0,0,1,1,0,1,9,1,4,0,0,0,8,5
56 - Λασιθίου,103 E.T. Δήμου Ιεράπετρας,354,237,2,2,4,233,92,17,3,33,20,55,0,11,0,40,7,4,0,46,1,8,20,14,4,1,0,0,0,2,1,0,1,0,0,1,0,0,2,0,0,2,0,11,9,1,0,0,0,0,0,1,0,0,0,1,0,0,0,10,2,3,1,0,0,1,1
56 - Λασιθίου,104 E.T. Δήμου Ιεράπετρας,356,244,4,1,5,239,107,33,4,44,9,69,0,17,0,48,3,0,0,39,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,6,0,0,0,0,0,2,0
56 - Λασιθίου,105 E.T. Δήμου Ιεράπετρας,137,99,3,2,5,94,31,2,0,0,15,25,1,10,0,14,0,0,0,32,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
56 - Λασιθίου,106 E.T. Δήμου Ιεράπετρας,357,177,0,0,0,177,43,16,3,8,6,70,2,48,0,20,2,0,0,40,0,0,0,0,2,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
56 - Λασιθίου,107 E.T. Δήμου Ιεράπετρας,408,224,4,3,7,217,57,19,6,9,6,88,3,18,2,55,2,1,0,30,2,23,0,2,5,0,0,4,0,2,0,0,1,0,0,0,0,0,1,0,1,0,0,15,13,1,0,0,0,0,0,0,0,0,0,0,1,1,0,11,4,3,2,0,2,3,3
56 - Λασιθίου,108 E.T. Δήμου Ιεράπετρας,384,229,4,3,7,222,67,28,5,14,7,68,0,19,0,40,6,0,0,43,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,10,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,12,0,0,1,0,0,4,0
56 - Λασιθίου,109 E.T. Δήμου Ιεράπετρας,386,244,2,0,2,242,76,20,9,16,9,86,1,45,0,34,5,4,0,38,7,11,4,12,8,1,1,0,0,3,1,1,1,0,0,0,0,0,1,0,1,0,0,7,4,1,0,0,0,1,1,4,1,0,0,0,0,0,0,8,1,2,1,0,0,4,3
56 - Λασιθίου,110 E.T. Δήμου Ιεράπετρας,488,297,3,1,4,293,88,16,13,21,10,105,1,47,0,52,7,3,2,44,6,27,9,1,6,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,10,6,1,0,0,0,1,0,0,0,0,0,0,2,1,0,21,6,3,1,0,0,7,3
56 - Λασιθίου,111 E.T. Δήμου Ιεράπετρας,481,311,7,2,9,302,87,30,8,10,10,106,2,47,0,48,5,0,0,52,0,0,0,0,11,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,21,0,0,4,0,0,3,0
56 - Λασιθίου,112 E.T. Δήμου Ιεράπετρας,470,292,8,0,8,284,82,26,6,11,19,99,4,35,2,50,13,7,3,40,9,15,3,12,4,1,2,1,0,1,0,0,0,0,0,2,1,0,2,0,0,0,2,13,8,2,2,0,1,0,0,0,0,0,0,0,0,0,0,20,9,6,1,1,0,5,3
56 - Λασιθίου,113 E.T. Δήμου Οροπεδίου Λασιθίου,274,164,0,1,1,163,32,16,2,2,5,57,9,6,0,35,1,0,0,57,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,9,0,0,0,0,0,0,0
56 - Λασιθίου,114 E.T. Δήμου Οροπεδίου Λασιθίου,297,175,2,1,3,172,56,31,4,2,3,80,10,5,3,53,3,0,0,24,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
56 - Λασιθίου,115 E.T. Δήμου Οροπεδίου Λασιθίου,332,206,2,3,5,201,58,22,5,3,9,85,12,6,3,55,1,0,0,46,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,3,0
56 - Λασιθίου,116 E.T. Δήμου Οροπεδίου Λασιθίου,158,93,0,0,0,93,29,14,0,4,0,31,1,1,1,25,2,0,0,17,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0
56 - Λασιθίου,117 E.T. Δήμου Οροπεδίου Λασιθίου,335,215,10,1,11,204,89,32,1,10,3,69,9,5,0,53,0,0,0,31,0,0,0,0,8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
56 - Λασιθίου,118 E.T. Δήμου Οροπεδίου Λασιθίου,199,119,4,1,5,114,41,15,0,0,4,48,16,11,1,13,2,0,0,18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
