ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,ΣΥΡΙΖΑ,ΓΕΝΝΙΑ ΓΕΩΡΓΙΑ του Σωκράτη,ΔΟΥΖΙΝΑΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Ευαγγέλου,ΔΡΙΤΣΑΣ ΘΕΟΔΩΡΟΣ του Παναγιώτη,ΜΑΛΤΕΖΟΣ ΓΡΗΓΟΡΙΟΣ του Θεμιστοκλή,ΜΠΑΪΡΑΜΟΓΛΟΥ ΓΕΩΡΓΙΟΣ του Ιωάννη,ΜΠΕΝΕΤΟΣ ΓΕΩΡΓΙΟΣ του Κωνσταντίνου,ΡΕΠΟΥΣΗ ΜΑΡΙΑ του Βασιλείου,ΣΤΑΜΑΤΑΚΗ ΕΛΕΝΗ του Παναγιώτη,Νέα Δημοκρατία,ΑΒΡΑΝΤΙΝΗΣ ΑΝΑΣΤΑΣΙΟΣ (ΤΑΣΟΣ) του Ιωάννη,ΔΟΥΝΙΑ ΠΑΝΑΓΙΩΤΑ (ΝΟΝΗ) του Δημητρίου ,ΚΑΛΑΓΙΑ ΜΑΡΙΑ του Ηλία,ΚΑΤΣΑΦΑΔΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Ιωάννη,ΜΑΝΩΛΑΚΟΣ ΝΙΚΟΛΑΟΣ  του Πέτρου ,ΜΕΛΑΣ ΙΩΑΝΝΗΣ του Παναγιώτη,ΜΠΟΥΤΣΙΚΑΚΗΣ ΧΡΙΣΤΟΦΟΡΟΣ-ΕΜΜΑΝΟΥΗΛ του Ιωάννη,ΡΟΥΣΣΟΥ ΖΩΗ του Ευαγγέλου-Αντωνίου,Λαϊκός Σύνδεσμος - Χρυσή Αυγή,ΓΙΑΤΖΟΓΛΟΥ ΣΤΥΛΙΑΝΟΣ του Μιχαήλ,ΚΑΤΣΟΥΛΗ ΠΑΓΩΝΑ του Γεωργίου,ΚΟΥΖΗΛΟΣ ΝΙΚΟΛΑΟΣ του Παναγιώτη,ΜΑΥΡΟΜΜΑΤΑΚΗΣ ΕΜΜΑΝΟΥΗΛ του Ιωάννη,ΝΙΑΟΥΡΗ ΜΑΡΙΑ του Χρήστου,ΞΗΡΑΚΙΑ ΑΝΔΡΙΑΝΗ του Λάμπρου,ΠΟΤΟΥΡΟΠΟΥΛΟΣ ΝΙΚΟΛΑΟΣ του Ανδρέα,Κίνημα Αλλαγής,ΑΘΑΝΑΣΙΑΔΗΣ ΛΑΖΑΡΟΣ (ΤΑΚΗΣ) του Θεοδώρου,ΑΝΑΓΝΩΣΤΟΥ ΑΙΚΑΤΕΡΙΝΗ του Σταματίου,ΑΡΚΑΛΑΚΗ ΑΡΓΥΡΩ (ΡΟΥΛΑ) του Ευτυχίου ,ΒΟΥΡΕΞΑΚΗ - ΤΑΜΠΟΥΡΑΤΖΗ ΚΑΤΕΡΙΝΑ (ΚΑΤΙΝΑ) του Αναστασίου,ΚΑΤΣΑΦΑΔΟΣ ΒΑΣΙΛΕΙΟΣ του Ηλία,ΜΑΝΟΥΣΑΚΗΣ ΣΤΥΛΙΑΝΟΣ του Ιωάννη,ΠΟΝΤΑΣ ΑΠΟΣΤΟΛΟΣ του Ηλία,ΧΡΥΣΟΦΑΚΗΣ ΕΛΕΥΘΕΡΙΟΣ του Ιακώβου,Κ.Κ.Ε.,ΔΙΓΕΝΗ ΑΣΗΜΙΝΑ (ΣΕΜΙΝΑ) του Αναστασίου ,ΚΑΡΠΗΣ ΝΙΚΟΛΑΟΣ του Ιωάννη,ΜΑΝΟΥΣΟΓΙΑΝΝΑΚΗΣ ΙΩΑΝΝΗΣ του Ιωσήφ,ΜΑΡΟΥΠΑΣ ΕΥΑΓΓΕΛΟΣ του Νικολάου ,ΜΟΦΟΡΗΣ ΓΡΗΓΟΡΙΟΣ του Σταύρου,ΞΕΚΑΛΑΚΗΣ ΔΗΜΗΤΡΙΟΣ του Νικολάου ,ΠΑΝΤΕΛΑΚΗ ΕΛΠΙΔΑ του Αντωνίου,ΧΑΤΖΗΔΑΚΗ ΕΥΤΥΧΙΑ του Γεωργίου ,Ένωση Κεντρώων,ΒΕΡΥΚΑΚΗ ΕΛΛΑΣ (ΕΛΙΝΑ) του Γεωργίου ,ΚΑΡΑΚΑΤΣΑΝΗΣ ΑΠΟΣΤΟΛΟΣ του Μιχαήλ,ΜΠΑΛΑΣΚΑΣ ΑΡΙΣΤΟΜΕΝΗΣ του Παναγιώτη ,ΠΑΝΑΓΟΠΟΥΛΟΣ ΒΑΣΙΛΕΙΟΣ του Ιωάννη,ΣΙΜΟΣ ΙΩΑΝΝΗΣ του Ευγενίου ,ΤΡΑΚΑΚΗ ΑΓΓΕΛΙΚΗ του Δημητρίου ,ΨΩΜΑ ΣΤΥΛΙΑΝΗ (ΣΤΕΛΛΑ) του Φωτίου ,Ο.Κ.Δ.Ε.,ΤΣΟΛΑΚΑΣ ΓΕΩΡΓΙΟΣ του Ανδρέα,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΑΛΦΙΕΡΗΣ ΑΝΤΩΝΙΟΣ του Ευτυχίου,ΑΝΑΣΤΑΣΙΑΔΗΣ ΑΝΑΣΤΑΣΙΟΣ του Βασιλείου ,ΔΕΛΑΓΡΑΜΜΑΤΙΚΑ ΓΑΡΥΦΑΛΛΙΑ (ΦΥΛΛΙΑ) του Γεωργίου ,ΔΙΑΒΟΛΑΚΗΣ ΑΘΑΝΑΣΙΟΣ του Στυλιανού ,ΜΑΚΡΗΣ ΓΕΡΑΣΙΜΟΣ του Κωνσταντίνου ,ΜΠΕΣΗΣ ΠΑΥΛΟΣ ΑΝΔΡΕΑΣ του Σπύρου Νεκταρίου,ΠΑΠΑΔΟΠΟΥΛΟΥ ΟΛΓΑ του Γεωργίου,ΠΥΛΑΡΙΝΟΥ ΔΙΟΝΥΣΙΑ του Γεωργίου ,Ελλήνων Συνέλευσις,ΘΕΟΔΩΡΟΠΟΥΛΟΥ ΕΛΕΝΗ του Θεοδώρου,ΚΟΥΡΤΕΣΗΣ ΑΛΕΞΑΝΔΡΟΣ του Δημοσθένη ,ΜΕΛΑΣ ΠΑΝΑΓΙΩΤΗΣ του Νικολάου ,ΜΠΟΥΜΠΟΥΛΗ ΜΑΡΙΑ του Χρύσανθου,ΤΣΙΑΜΗΣ ΓΕΩΡΓΙΟΣ του Σταύρου ,ΤΣΟΡΗΣ ΣΩΤΗΡΙΟΣ του Κωνσταντίνου ,ΕΕΚ Τροτσκιστές - Εργ.Επ.Κόμμα,ΕΥΣΤΑΘΙΟΥ - ΓΕΩΡΓΙΟΥ ΜΑΡΙΑ του Χρήστου ,Ελληνική Λύση - Κ. Βελόπουλος,ΚΑΡΑΜΟΛΕΓΚΟΣ ΙΩΑΝΝΗΣ του Κωνσταντίνου ,ΚΙΣΑΝΑΚΗΣ ΠΑΝΑΓΙΩΤΗΣ του Γεωργίου ,ΜΟΣΧΟΥ ΒΑΣΙΛΕΙΟΣ του Παράσχου ,ΠΑΝΤΕΛΑΡΟΣ ΘΕΟΔΟΣΙΟΣ του Ισιδώρου,ΣΚΥΛΙΤΣΗ ΑΝΝΑ του Γεωργίου ,ΦΡΑΓΚΙΑΔΑΚΗΣ ΑΡΙΣΤΕΙΔΗΣ του Μιχαήλ,ΨΩΜΑΤΑΚΗ ΝΙΚΗ του Θεοδώρου ,ΨΩΜΙΑΔΟΥ ΧΡΥΣΟΥΛΑ του Παναγιώτη,Κ.Κ.Ε. (μ-λ),ΑΝΤΩΝΙΟΥ ΒΑΣΙΛΙΚΗ του Χρήστου ,ΜΠΕΛΕΣΗ ΧΡΥΣΟΥΛΑ - ΧΡΥΣΑΦΩ του Γεωργίου ,ΤΣΟΥΓΚΡΑΝΗΣ ΓΕΩΡΓΙΟΣ του Προδρόμου,Μ-Λ Κ.Κ.Ε.,ΝΙΚΗΤΑ ΑΔΑΜΑΝΤΙΑ του Δημητρίου ,ΣΤΑΥΡΙΔΗΣ ΙΩΣΗΦ του Σταύρου ,Ε.ΠΑ.Μ - Α.Κ.Κ.ΕΛ,ΙΩΑΝΝΙΔΟΥ ΠΟΛΥΞΕΝΗ (ΞΕΝΙΑ) του Ιωάννου,ΚΡΕΜΑΣΤΙΩΤΟΥ ΕΛΕΝΗ του Παύλου,ΜΙΧΑΛΟΠΟΥΛΟΣ ΑΘΑΝΑΣΙΟΣ του Δημητρίου ,ΣΤΕΡΓΙΟΥΛΗ ΧΑΡΙΚΛΕΙΑ του Μιχαήλ ,ΣΤΕΦΑΝΟΥ ΓΕΩΡΓΙΟΣ του Χαράλαμπου ,ΦΟΥΝΤΟΥΛΑΚΗΣ ΔΗΜΗΤΡΙΟΣ του Γεωργίου ,Λαϊκή Ενότητα,ΑΜΙΡΑΛΗΣ ΕΛΕΥΘΕΡΙΟΣ του Εμμανουήλ,ΚΑΛΛΙΜΑΓΕΙΡΟΥ ΕΛΕΥΘΕΡΙΑ του Αναστασίου ,ΚΑΝΤΑΣ ΑΡΙΣΤΟΤΕΛΗΣ του Βασιλείου ,ΜΠΑΔΟΓΙΑΝΝΗΣ ΠΡΟΚΟΠΙΟΣ (ΑΚΗΣ) του Γεωργίου ,ΠΑΠΑΔΟΠΟΥΛΟΥ ΑΙΚΑΤΕΡΙΝΗ του Ευστρατίου ,ΠΕΤΟΥΣΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Δημητρίου ,ΜέΡΑ25,ΖΟΥΓΑΝΕΛΗ ΠΑΝΑΓΙΩΤΑ (ΠΟΛΑ) του Νικολάου ,ΚΑΝΑΡΕΛΗΣ ΝΙΚΟΛΑΟΣ του Θεοδώρου ,ΚΥΡΙΑΚΙΔΗΣ ΙΩΑΝΝΗΣ  του Ευσταθίου ,ΠΑΡΤΑΚΤΖΟΓΛΟΥ ΑΓΓΕΛΙΚΗ του Ιωάννη,ΣΤΡΑΤΟΥ ΔΑΝΑΗ του Φαίδωνα,ΧΑΡΑΛΑΜΠΑΚΗΣ ΙΩΑΝΝΗΣ του Θεοδώρου ,Δημιουργία ξανά - Θ. Τζήμερος,ΕΥΓΕΝΙΔΟΥ ΑΝΔΡΟΝΙΚΗ του Γεωργίου ,ΣΥΝ...ΦΩΝΙΑ ΚΟΜΜΑΤΩΝ,ΓΡΙΒΑ ΒΑΣΙΛΙΚΗ του Λεωνίδα,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΜΠΙΜΠΙΛΑΣ ΣΠΥΡΙΔΩΝ του Κωνσταντίνου 
40 - Α' Πειραιώς,51 E.T. Δήμου Πειραιώς,541,336,5,8,13,323,86,8,10,34,3,4,4,19,14,131,13,22,9,66,31,31,23,6,10,5,2,3,0,1,1,0,20,1,2,7,2,3,4,5,2,16,7,2,2,5,0,0,6,1,10,3,3,1,1,2,2,1,1,0,4,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,11,3,1,2,1,2,5,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,7,1,1,0,6,4,4,4,0,0,10,5
40 - Α' Πειραιώς,52 E.T. Δήμου Πειραιώς,532,305,6,3,9,296,91,7,24,32,4,12,13,18,15,122,15,26,19,47,27,26,20,18,10,5,5,3,0,1,0,0,18,3,3,3,3,3,4,4,5,17,10,0,2,1,1,1,5,4,5,2,0,1,0,2,2,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,9,2,0,1,0,5,5,2,0,0,0,0,0,0,0,0,3,3,1,0,1,0,0,0,0,0,0,0,0,0,12,4,0,0,1,5,1,0,0,0,0,8,6
40 - Α' Πειραιώς,53 E.T. Δήμου Πειραιώς,538,313,4,4,8,305,87,17,15,32,6,2,11,21,13,135,15,22,16,62,24,32,19,9,3,0,1,1,0,2,0,0,16,0,2,1,1,4,5,2,3,16,7,0,2,3,0,0,6,2,6,0,0,1,2,1,1,2,1,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,8,3,2,0,0,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,19,10,2,1,2,10,3,4,2,0,0,5,3
40 - Α' Πειραιώς,54 E.T. Δήμου Πειραιώς,560,316,1,3,4,312,81,9,20,22,4,3,9,16,16,152,15,26,12,69,36,37,22,24,9,2,1,5,2,1,1,1,7,1,1,1,1,3,3,0,1,25,11,0,2,2,4,1,7,1,7,1,1,0,1,4,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,6,1,0,0,0,1,2,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,17,7,3,1,0,9,5,1,0,0,0,2,0
40 - Α' Πειραιώς,55 E.T. Δήμου Πειραιώς,532,338,5,5,10,328,88,9,13,26,1,5,9,18,18,163,12,27,19,75,29,40,24,13,8,3,1,4,1,1,1,0,15,1,2,2,1,2,6,2,2,10,4,2,0,0,0,0,3,1,3,1,2,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,14,3,2,1,2,4,0,1,2,1,1,0,0,0,0,0,2,1,0,2,0,1,0,0,0,0,0,0,0,0,13,4,1,0,1,8,1,5,3,0,0,4,1
40 - Α' Πειραιώς,56 E.T. Δήμου Πειραιώς,547,317,3,3,6,311,79,12,12,29,5,6,9,19,15,127,10,25,17,57,27,35,18,22,18,7,3,6,1,2,3,2,9,2,1,0,0,3,5,3,2,26,10,1,4,2,1,1,11,6,10,1,0,4,0,4,1,3,0,0,4,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,1,0,10,2,2,2,0,6,5,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,1,0,14,2,3,2,0,1,2,6,1,0,0,5,4
40 - Α' Πειραιώς,57 E.T. Δήμου Πειραιώς,533,319,3,2,5,314,84,15,13,22,6,4,12,27,11,134,13,17,15,58,24,30,23,19,19,13,0,8,1,1,1,0,24,1,5,4,2,2,4,3,7,18,10,3,2,4,0,0,4,1,5,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,1,0,0,7,2,1,0,0,0,0,0,0,0,0,6,2,0,1,0,3,1,1,1,0,0,0,0,0,7,1,0,1,0,3,0,0,0,0,0,7,4
40 - Α' Πειραιώς,58 E.T. Δήμου Πειραιώς,543,351,6,4,10,341,94,18,19,34,4,12,8,23,16,172,8,33,18,69,33,47,29,16,9,5,0,3,2,1,0,1,12,1,4,0,1,4,2,2,1,10,3,0,1,1,1,0,6,2,4,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,7,3,1,1,0,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,1,1,2,1,1,2,16,4,2,2,0,2,2,2,0,0,0,7,3
40 - Α' Πειραιώς,59 E.T. Δήμου Πειραιώς,538,314,7,2,9,305,76,11,10,25,8,4,11,17,14,145,17,28,10,62,30,30,17,27,6,6,2,2,0,1,0,0,25,7,10,2,3,7,5,3,3,16,10,2,2,1,1,4,2,1,5,2,2,0,0,1,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,15,5,2,4,1,3,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,6,4,0,1,1,2,1,2,0,0,0,5,4
40 - Α' Πειραιώς,60 E.T. Δήμου Πειραιώς,530,327,5,1,6,321,101,12,20,35,3,4,10,15,21,133,17,28,12,55,27,27,12,22,9,2,3,2,1,0,0,0,10,2,3,2,2,0,2,0,0,14,5,0,1,0,1,1,2,2,8,3,1,0,0,4,0,1,0,0,2,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,10,3,0,2,0,3,1,0,0,0,0,0,0,0,0,0,2,1,2,0,1,0,0,0,0,0,0,0,0,0,15,6,1,0,0,3,1,7,2,0,0,8,3
40 - Α' Πειραιώς,61 E.T. Δήμου Πειραιώς,529,354,4,1,5,349,103,14,13,39,4,13,13,22,15,154,16,30,17,72,27,34,18,11,11,5,1,4,0,3,2,0,20,1,6,4,4,2,5,1,1,19,10,2,0,1,0,1,11,3,8,2,1,2,3,1,1,0,0,0,1,0,0,1,0,1,0,0,0,4,0,3,0,0,0,4,0,0,7,3,0,1,0,4,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,12,3,2,1,1,3,3,2,2,0,0,6,3
40 - Α' Πειραιώς,62 E.T. Δήμου Πειραιώς,543,318,5,4,9,309,85,13,9,25,0,7,8,22,13,126,18,25,10,57,25,22,15,18,9,3,1,3,1,3,1,2,26,2,3,1,1,9,7,0,9,17,11,1,1,3,0,1,2,1,11,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,1,0,1,0,4,3,2,0,1,0,0,1,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,13,1,0,0,2,2,3,2,1,0,0,6,3
40 - Α' Πειραιώς,63 E.T. Δήμου Πειραιώς,560,253,1,0,1,252,82,13,13,27,3,2,8,28,11,118,9,15,12,44,32,29,25,11,7,2,2,3,0,0,0,1,3,0,1,0,0,1,0,1,2,9,6,0,0,2,0,1,3,2,4,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,1,0,0,7,2,0,1,0,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,5,0,3,0,3,4,2,2,0,0,1,1
40 - Α' Πειραιώς,64 E.T. Δήμου Πειραιώς,562,243,1,1,2,241,72,11,17,28,4,6,5,11,9,106,18,25,13,38,17,24,23,16,2,0,1,1,0,0,0,0,13,0,1,2,2,3,6,0,2,12,3,0,1,1,0,2,3,3,7,1,2,1,1,2,1,0,0,0,3,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,10,0,2,1,0,6,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,11,4,1,2,0,2,1,1,0,0,0,2,2
40 - Α' Πειραιώς,65 E.T. Δήμου Πειραιώς,553,266,8,2,10,256,88,10,17,50,8,5,9,17,9,105,10,18,10,43,23,23,16,8,8,5,5,2,2,2,0,0,9,1,3,1,0,1,3,0,3,7,3,0,0,0,0,0,2,1,5,0,1,0,1,0,1,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11,2,0,1,1,5,5,1,1,0,0,0,0,0,0,0,6,1,1,1,0,1,2,2,1,1,1,0,0,0,8,2,0,1,2,4,0,2,2,0,0,3,2
40 - Α' Πειραιώς,66 E.T. Δήμου Πειραιώς,530,254,4,2,6,248,83,13,12,25,8,12,5,17,11,92,9,16,3,48,14,23,10,9,8,3,1,2,1,2,2,1,12,2,2,2,0,3,3,2,3,17,7,0,2,1,3,1,5,0,6,2,2,2,2,0,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,6,1,1,0,0,3,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,2,0,1,0,1,1,2,1,0,0,5,4
40 - Α' Πειραιώς,67 E.T. Δήμου Πειραιώς,553,254,4,2,6,248,87,13,11,46,7,5,8,20,14,104,6,25,11,37,28,22,24,15,6,4,0,3,1,0,1,0,17,4,5,3,2,1,7,3,2,7,2,0,0,0,0,0,3,0,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,1,1,4,0,7,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,9,2,2,2,0,2,2,1,1,0,0,3,2
40 - Α' Πειραιώς,68 E.T. Δήμου Πειραιώς,549,278,1,1,2,276,105,17,16,41,7,10,12,17,13,89,9,16,9,51,18,22,7,11,8,2,2,0,0,1,0,0,9,3,1,0,0,1,2,3,0,24,10,1,3,1,3,0,9,3,3,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,14,1,2,0,1,6,3,1,2,0,0,0,0,0,0,0,2,1,1,2,0,0,0,1,0,0,0,0,0,0,9,3,1,0,0,2,2,1,0,0,0,6,2
40 - Α' Πειραιώς,69 E.T. Δήμου Πειραιώς,554,280,1,2,3,277,73,14,4,28,4,5,6,10,12,124,9,18,11,48,36,27,19,13,7,0,0,2,1,3,0,0,21,2,1,2,0,8,6,6,2,16,11,0,2,2,0,2,8,0,5,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2,2,3,1,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,0,4,1,2,1,1,0,0,0,4,2
40 - Α' Πειραιώς,70 E.T. Δήμου Πειραιώς,533,247,1,3,4,243,82,13,16,32,9,7,10,21,20,90,8,17,6,47,31,17,13,10,8,5,1,4,0,1,1,0,16,4,2,4,2,4,7,1,3,19,8,2,4,3,3,0,7,4,1,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,3,1,1,0,7,0,0,2,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,7,2,0,1,1,2,0,1,0,0,0,4,1
40 - Α' Πειραιώς,71 E.T. Δήμου Πειραιώς,535,224,1,0,1,223,78,11,9,16,4,6,6,15,10,90,7,19,10,38,21,16,19,13,5,0,0,1,0,0,0,0,9,2,1,1,0,3,2,2,3,11,2,1,0,2,0,0,1,2,5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,0,1,1,6,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,2,0,1,2,0,0,0,0,0,5,1
40 - Α' Πειραιώς,72 E.T. Δήμου Πειραιώς,542,241,5,2,7,234,78,12,17,25,5,4,12,22,12,78,8,11,5,45,22,10,6,7,13,7,2,11,1,0,0,1,10,1,1,1,1,3,2,0,4,17,15,1,5,6,1,0,4,0,5,2,0,0,1,0,0,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,6,4,2,1,6,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,11,1,2,2,0,2,1,1,0,0,0,3,2
40 - Α' Πειραιώς,73 E.T. Δήμου Πειραιώς,549,345,4,3,7,338,118,21,24,43,7,9,15,23,27,133,17,21,11,64,22,37,22,12,8,3,2,3,0,2,0,0,11,3,1,2,1,2,0,2,2,22,7,1,1,4,0,0,12,1,5,4,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,2,2,11,3,0,1,0,4,0,1,0,2,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,1,1,0,5,2,2,1,0,0,9,5
40 - Α' Πειραιώς,74 E.T. Δήμου Πειραιώς,521,317,5,2,7,310,94,16,19,35,9,14,9,26,15,126,10,21,7,67,23,28,18,16,6,4,1,0,1,1,1,1,17,1,1,5,2,7,4,2,6,12,3,0,2,1,0,0,8,2,10,3,1,1,1,5,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,1,1,1,6,4,0,0,1,1,1,0,1,0,0,1,1,0,0,0,0,1,3,0,0,1,0,0,0,16,4,0,3,1,5,0,2,2,1,1,1,0
40 - Α' Πειραιώς,75 E.T. Δήμου Πειραιώς,527,313,1,2,3,310,92,19,24,32,7,7,10,27,15,139,9,23,15,65,23,29,21,16,8,2,1,3,0,2,1,0,11,1,0,0,1,7,1,4,3,20,8,2,2,2,2,0,4,0,8,2,0,0,0,2,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,6,3,1,1,3,2,0,1,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,12,6,3,1,0,3,3,2,1,0,0,3,2
40 - Α' Πειραιώς,76 E.T. Δήμου Πειραιώς,526,317,7,5,12,305,103,21,19,53,4,3,13,25,18,107,9,40,9,53,28,19,8,7,14,5,2,4,0,0,0,4,7,0,0,0,0,0,1,1,3,23,10,2,1,2,4,1,9,2,4,2,1,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,12,2,2,0,0,6,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,18,4,2,3,2,5,0,2,2,0,0,9,3
40 - Α' Πειραιώς,77 E.T. Δήμου Πειραιώς,567,334,5,1,6,328,81,21,9,23,4,8,12,18,12,157,15,32,11,84,22,32,25,19,10,1,2,5,1,2,1,1,25,7,2,0,3,4,5,7,4,14,5,0,0,0,2,3,7,1,6,1,3,0,0,2,0,1,1,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,4,1,3,0,3,0,1,3,0,0,0,0,0,0,0,2,1,0,1,1,1,0,0,0,0,0,0,0,0,9,4,1,1,1,2,2,4,1,0,0,8,5
40 - Α' Πειραιώς,78 E.T. Δήμου Πειραιώς,519,320,4,2,6,314,111,21,10,48,5,11,17,28,20,143,7,31,15,78,30,29,19,17,7,4,1,1,0,1,0,3,9,0,1,1,2,5,2,0,2,14,9,0,0,3,0,1,8,1,4,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,3,1,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,1,3,0,0,0,0,0,0,8,2,0,1,0,2,1,0,0,0,0,6,5
40 - Α' Πειραιώς,79 E.T. Δήμου Πειραιώς,522,315,2,4,6,309,85,10,18,21,5,10,7,19,10,143,16,20,8,70,27,28,32,11,9,4,2,4,1,1,0,1,12,1,1,2,0,6,4,2,4,20,11,0,4,3,1,0,8,3,4,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,12,1,0,2,1,6,5,0,2,1,0,0,0,0,0,0,2,1,1,0,0,1,1,3,3,0,0,0,0,0,11,3,2,1,1,2,0,1,1,0,0,4,1
40 - Α' Πειραιώς,80 E.T. Δήμου Πειραιώς,543,318,1,3,4,314,79,6,10,33,2,8,8,13,16,139,16,20,9,49,23,31,22,27,13,5,3,7,2,3,1,2,20,3,2,0,2,3,7,2,9,23,7,0,4,4,1,0,8,3,7,1,0,0,0,2,1,1,1,0,2,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,13,3,2,1,0,5,0,4,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,2,1,0,0,0,0,0,6,2,1,1,3,1,0,0,0,0,0,5,1
40 - Α' Πειραιώς,81 E.T. Δήμου Πειραιώς,520,291,6,5,11,280,55,9,8,22,1,4,4,15,12,132,15,23,9,62,27,19,27,11,6,1,1,0,0,1,0,0,19,2,2,0,3,2,7,2,4,17,12,0,2,4,0,1,4,0,4,2,0,1,0,1,1,1,0,0,3,0,1,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,11,4,0,0,0,6,6,1,1,0,0,0,0,2,0,0,5,3,1,2,0,0,1,1,0,1,0,0,1,0,16,4,1,0,0,9,4,2,1,0,0,6,0
