ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,ΣΥΡΙΖΑ,ΙΓΓΛΕΖΗ ΑΙΚΑΤΕΡΙΝΗ του Θεοδώρου,ΜΑΛΑΜΑ ΚΥΡΙΑΚΗ του Ιωάννη,ΠΑΝΟΣ ΙΩΑΚΕΙΜ του Χρήστου,ΣΑΚΚΑΣ ΧΡΗΣΤΟΣ του Ιωάννη,ΤΟΣΚΑΣ ΛΑΖΑΡΟΣ του Ηλία,Νέα Δημοκρατία,ΒΑΓΙΩΝΑΣ ΓΕΩΡΓΙΟΣ του Κωνσταντίνου,ΚΑΡΑΝΑΣΙΟΣ ΕΥΘΥΜΙΟΣ του Βασιλείου,ΣΟΦΙΟΥ ΜΑΓΔΑΛΗΝΗ του Ευαγγέλου,ΤΑΣΙΟΣ ΓΡΗΓΟΡΙΟΣ του Γεωργίου,ΧΑΤΖΗΣΤΑΜΑΤΙΟΥ-ΛΕΜΟΝΙΑΔΟΥ ΕΛΕΥΘΕΡΙΑ (ΡΙΤΣΑ) του Ηλία,Λαϊκός Σύνδεσμος - Χρυσή Αυγή,ΒΑΪΝΔΕΡΛΗ ΕΥΡΥΚΛΕΙΑ του Δημητρίου,ΒΛΑΧΟΥ ΣΩΤΗΡΙΑ του Ιωάννη,ΖΑΜΠΙΔΗΣ ΠΡΟΔΡΟΜΟΣ του Χαραλάμπους,ΜΑΝΩΛΑΣ ΑΡΙΣΤΟΤΕΛΗΣ του Γρηγορίου,ΧΑΣΑΠΗΣ ΑΣΤΕΡΙΟΣ του Δημητρίου,Κίνημα Αλλαγής,ΒΛΑΧΟΠΟΥΛΟΣ ΜΙΧΑΗΛ του Αστερίου,ΕΥΤΑΤΟΓΛΟΥ ΑΝΑΣΤΑΣΙΑ του Νικολάου,ΖΕΠΠΟΥ ΜΑΡΘΑ του Ιωάννη,ΚΑΝΕΛΗΣ ΑΡΙΣΤΕΙΔΗΣ του Δημητρίου,ΠΑΝΑΣ ΑΠΟΣΤΟΛΟΣ του Νικολάου,Κ.Κ.Ε.,ΖΑΧΑΡΙΑΔΗΣ ΔΗΜΗΤΡΙΟΣ του Γερασίμου,ΛΥΡΤΖΗΣ ΔΗΜΗΤΡΙΟΣ του Νικολάου,ΜΩΥΣΙΑΔΟΥ ΧΡΙΣΤΙΝΑ του Δημητρίου,ΠΑΝΤΕΛΗΣ ΛΑΖΑΡΟΣ του Αστερίου,ΧΡΙΣΤΙΑΝΟΥ ΑΓΓΕΛΙΚΗ του Νικολάου,Ένωση Κεντρώων,ΑΛΕΞΙΟΥ ΧΡΗΣΤΟΣ του Αθανασίου,ΣΑΚΟΛΕΒΑ ΜΑΡΙΑ του Σωτηρίου,ΤΣΑΟΥΡΕΛΟΣ ΘΕΟΔΩΡΟΣ του Στυλιανού,Ο.Κ.Δ.Ε.,ΑΝΤΩΝΙΟΥ ΣΤΕΡΓΙΑΝΗ του Μιχαήλ,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΒΛΑΧΟΣ ΓΕΩΡΓΙΟΣ του Νικολάου,ΖΑΦΕΙΡΟΥΛΗ ΒΡΕΤΟΥ ΦΑΝΗ του Βασιλείου,ΡΗΓΟΠΟΥΛΟΣ ΦΡΑΓΚΙΣΚΟΣ του Γεωργίου,Ελλήνων Συνέλευσις,ΑΛΕΥΡΑΣ ΧΡΗΣΤΟΣ του Γεωργίου,ΚΑΜΠΟΥΡΗΣ ΑΝΤΩΝΙΟΣ του Χρήστου,ΜΟΥΣΤΑΚΑ ΜΑΡΙΑ του Παναγιώτη,ΣΑΡΗΓΙΑΝΝΙΔΗΣ ΑΛΚΗΣ του Χρήστου,ΧΑΡΙΤΟΥ ΜΑΡΓΑΡΙΤΑ του Αποστόλου,Ελληνική Λύση - Κ. Βελόπουλος,ΒΟΥΖΑ ΑΙΚΑΤΕΡΙΝΗ του Δημητρίου,ΕΛΙΟΔΩΡΟΥ ΝΙΚΟΛΑΟΣ του Στυλιανού,ΜΠΑΒΕΛΗ ΘΕΟΔΩΡΑ του Ζαρίφη,ΟΙΚΟΝΟΜΟΥ ΑΡΙΣΤΕΙΔΗΣ του Νικολάου,ΠΙΤΟΥΛΑΣ ΕΛΕΥΘΕΡΙΟΣ του Ιωάννη,Κ.Κ.Ε. (μ-λ),ΓΕΩΡΓΟΥΔΗΣ ΓΕΩΡΓΙΟΣ του Νικολάου,Μ-Λ Κ.Κ.Ε.,ΜΑΝΔΕΛΕΝΑΚΗ ΖΩΗ του Ηλία,Ε.ΠΑ.Μ - Α.Κ.Κ.ΕΛ,ΜΑΥΡΟΥΔΗΣ ΛΑΜΠΡΟΣ του Αναστασίου,ΣΙΔΗΡΟΠΟΥΛΟΥ ΚΥΡΙΑΚΟΥΛΑ του Κωνσταντίνου,ΤΣΟΜΑΚΟΣ ΝΙΚΟΛΑΟΣ του Χρήστου,Λαϊκή Ενότητα,ΑΜΑΝΑΤΙΔΗΣ ΔΗΜΗΤΡΙΟΣ του Θεοφίλου,ΓΡΑΣΣΟΥ ΚΑΛΙΡΡΟΗ του Γεωργίου,ΔΕΡΓΙΑΔΕ-ΚΑΝΤΑΡΑ ΜΑΡΙΑ του Λεωνίδα,ΠΑΣΧΟΣ ΠΑΝΑΓΙΩΤΗΣ του Αντωνίου,ΜέΡΑ25,ΜΠΑΡΜΠΗΣ ΔΗΜΗΤΡΙΟΣ του Γεωργίου,ΣΟΦΤΣΗ ΜΑΡΙΑ του Βασιλείου,ΧΟΥΧΟΥΤΑΣ ΝΙΚΗΤΑΣ του Αθανασίου,Δημιουργία ξανά - Θ. Τζήμερος,ΒΑΓΓΛΗΣ ΑΣΤΕΡΙΟΣ (ΣΤΕΡΓΙΟΣ) του Αγγέλου,ΚΛΗΜΑΤΣΙΔΑ ΣΩΣΑΝΝΑ του Αστερίου,ΣΑΚΕΛΛΑΡΗΣ ΣΩΤΗΡΙΟΣ του Βασιλείου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΕΥΣΤΑΘΙΟΥ ΓΕΡΑΚΙΝΑ του Χριστοδούλου,ΚΥΠΡΑΙΟΥ ΕΛΕΝΗ του Βασιλείου,ΤΡΕΝΤΟΣ ΓΕΩΡΓΙΟΣ του Πέτρου
9 - Χαλκιδικής,38 E.T. Δήμου Αριστοτέλη,458,271,4,1,5,266,67,21,17,1,4,11,129,22,0,0,6,10,15,0,0,0,7,6,11,10,0,1,0,0,8,1,2,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,10,3,1,0,1,2,0,0,1,0,1,0,0,0,1,0,0,0,0,11,2,2,1,0,0,0,0,5,0,0,0
9 - Χαλκιδικής,39 E.T. Δήμου Αριστοτέλη,400,269,5,5,10,259,58,10,12,3,2,21,123,9,3,2,19,78,20,0,1,1,10,4,16,10,0,1,0,1,11,3,1,2,0,1,8,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,5,1,1,1,2,1,0,0,5,1,2,0
9 - Χαλκιδικής,40 E.T. Δήμου Αριστοτέλη,531,340,5,6,11,329,70,12,11,0,1,20,160,51,55,5,17,5,10,1,0,2,5,0,33,15,3,0,0,12,15,1,0,1,0,6,6,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,18,4,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,2,0,2,0,0,0,5,0,0,0
9 - Χαλκιδικής,41 E.T. Δήμου Αριστοτέλη,495,268,8,2,10,258,52,7,9,3,4,16,103,35,33,3,11,8,19,0,3,0,15,0,41,11,2,3,2,19,8,2,0,0,0,2,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,15,2,2,2,2,1,1,0,1,0,1,0,0,0,0,0,0,0,0,6,2,2,1,3,0,0,0,4,0,0,0
9 - Χαλκιδικής,42 E.T. Δήμου Αριστοτέλη,565,322,3,5,8,314,60,9,10,2,2,28,147,46,42,2,25,9,11,1,1,2,6,0,50,5,0,4,3,30,18,1,2,0,0,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,10,2,2,2,0,0,0,0,4,0,0,0
9 - Χαλκιδικής,43 E.T. Δήμου Αριστοτέλη,587,400,4,2,6,394,52,9,15,1,3,8,192,76,50,5,17,25,12,0,0,0,8,0,75,15,7,3,2,29,28,5,6,4,1,4,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,1,0,2,0,1,0,2,2,2,1,1,0,0,0,0,0,0,7,2,0,1,3,1,1,0,5,0,2,1
9 - Χαλκιδικής,44 E.T. Δήμου Αριστοτέλη,506,342,2,3,5,337,50,8,15,4,3,9,168,57,39,6,15,24,13,0,3,0,8,0,57,16,6,1,0,29,16,3,3,3,0,2,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2,3,0,0,0,0,0,5,0,0,0
9 - Χαλκιδικής,45 E.T. Δήμου Κασσάνδρας,351,222,2,2,4,218,60,13,16,2,12,11,82,19,14,19,24,2,8,0,0,0,6,1,17,1,2,1,9,4,19,6,1,2,0,3,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,10,2,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2,1,3,1,0,0,0,4,0,0,0
9 - Χαλκιδικής,46 E.T. Δήμου Κασσάνδρας,376,241,2,4,6,235,51,15,18,1,8,0,96,26,7,37,18,2,9,1,0,1,5,1,20,0,1,0,17,2,20,8,0,1,1,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,13,4,0,4,3,0,1,0,0,0,0,0,0,0,3,0,0,0,0,10,1,2,0,1,0,0,0,6,0,0,0
9 - Χαλκιδικής,47 E.T. Δήμου Κασσάνδρας,438,264,4,2,6,258,47,1,9,3,4,10,119,21,11,41,29,1,21,1,2,0,12,0,12,1,0,0,8,2,15,7,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18,3,5,1,2,0,0,0,10,0,0,0
9 - Χαλκιδικής,48 E.T. Δήμου Κασσάνδρας,363,215,5,1,6,209,39,11,10,3,8,2,105,23,28,20,25,1,3,0,0,0,2,0,15,0,0,1,8,4,5,1,2,0,1,0,5,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,0,0,0,3,0,0,0,15,0,0,0
9 - Χαλκιδικής,49 E.T. Δήμου Κασσάνδρας,441,258,9,2,11,247,57,11,18,2,13,3,121,34,15,38,21,0,9,0,1,0,4,1,16,1,1,1,8,3,2,0,0,0,1,0,4,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,7,1,0,1,0,2,0,0,1,1,4,1,1,0,1,0,0,0,0,12,4,1,0,1,1,0,0,11,10,1,0
9 - Χαλκιδικής,50 E.T. Δήμου Κασσάνδρας,489,232,3,2,5,227,41,9,14,1,3,5,84,15,17,19,18,1,19,2,5,1,7,0,21,1,2,0,8,10,4,3,0,0,0,0,7,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,17,7,0,4,3,0,0,0,0,0,5,0,0,0,1,0,0,0,0,10,3,0,0,3,0,0,0,11,0,0,0
9 - Χαλκιδικής,51 E.T. Δήμου Κασσάνδρας,539,244,4,1,5,239,54,9,16,5,3,1,93,13,13,29,18,1,14,1,3,1,3,1,22,0,2,0,5,14,10,2,0,0,0,1,3,0,2,0,0,0,0,0,0,0,4,0,0,1,2,1,14,3,1,3,3,0,1,0,0,0,3,2,1,0,0,0,0,0,0,10,2,2,0,2,0,1,0,9,4,0,0
9 - Χαλκιδικής,52 E.T. Δήμου Κασσάνδρας,505,294,3,3,6,288,59,7,13,4,10,6,128,19,25,48,14,1,23,0,6,0,13,1,30,0,1,1,21,4,10,1,0,2,0,1,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,12,1,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,3,0,4,0,0,0,5,0,0,0
9 - Χαλκιδικής,53 E.T. Δήμου Κασσάνδρας,470,271,1,0,1,270,41,10,10,0,2,5,138,13,36,50,27,4,18,0,6,0,9,1,16,1,0,0,14,1,5,2,0,0,0,1,4,1,0,2,1,0,0,0,0,0,6,0,0,1,5,0,19,3,4,5,3,0,2,2,0,0,1,0,1,0,0,0,0,0,0,10,1,2,0,0,0,0,0,9,5,2,0
9 - Χαλκιδικής,54 E.T. Δήμου Κασσάνδρας,473,281,2,5,7,274,49,11,16,3,0,6,141,36,37,46,6,3,17,2,3,1,8,1,23,0,0,0,15,6,7,2,0,0,0,1,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,13,1,1,5,2,0,0,0,1,0,3,0,0,0,0,0,0,0,0,4,1,2,0,1,0,0,0,6,0,0,0
9 - Χαλκιδικής,55 E.T. Δήμου Κασσάνδρας,465,249,1,2,3,246,66,31,18,3,0,3,104,24,25,29,18,0,16,0,4,4,5,1,28,0,0,0,22,3,6,3,0,0,0,1,5,2,1,2,0,0,0,0,0,0,2,0,1,0,1,0,8,0,0,2,6,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3,1,2,0,3,0,0,1,3,0,1,0
9 - Χαλκιδικής,56 E.T. Δήμου Κασσάνδρας,472,263,3,1,4,259,56,15,15,3,8,2,125,22,28,36,15,2,13,0,3,0,6,2,25,0,0,0,23,1,10,4,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,2,1,2,0,0,0,9,0,0,0
9 - Χαλκιδικής,57 E.T. Δήμου Κασσάνδρας,479,301,4,1,5,296,55,12,18,2,3,10,143,36,25,45,19,2,12,0,5,1,4,0,33,0,0,0,30,1,5,0,1,0,1,0,9,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,15,3,0,6,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,1,1,2,0,0,0,10,0,0,0
9 - Χαλκιδικής,58 E.T. Δήμου Κασσάνδρας,437,251,4,0,4,247,52,23,13,1,3,3,109,15,27,30,25,1,12,1,3,1,1,0,30,0,0,0,21,8,3,0,1,1,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13,1,8,1,3,0,0,0,10,0,0,0
9 - Χαλκιδικής,59 E.T. Δήμου Κασσάνδρας,548,288,5,2,7,281,38,10,4,3,5,3,187,20,26,71,41,3,11,0,2,3,2,2,7,0,2,0,1,3,5,2,0,1,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,12,4,0,2,3,0,0,0,2,0,0,0
9 - Χαλκιδικής,60 E.T. Δήμου Κασσάνδρας,402,220,1,4,5,215,60,16,11,1,1,9,73,20,11,11,17,1,8,0,4,1,2,0,12,0,0,0,6,3,23,12,0,2,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,11,3,0,3,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,12,2,0,0,1,0,0,0,8,0,0,0
9 - Χαλκιδικής,61 E.T. Δήμου Κασσάνδρας,410,246,3,0,3,243,69,12,16,1,12,5,74,16,15,14,18,0,19,4,7,2,5,0,20,0,0,0,15,4,21,9,1,0,1,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,0,9,0,0,1,1,0,0,2,0,0,0,4,2,1,1,0,9,3,2,1,0,0,0,0,8,4,0,0
9 - Χαλκιδικής,62 E.T. Δήμου Κασσάνδρας,413,253,2,1,3,250,83,14,25,2,5,17,84,13,22,15,17,2,14,0,4,3,4,0,19,0,1,0,9,7,15,3,2,2,0,2,5,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,12,0,1,6,2,0,0,0,1,0,1,0,0,0,2,0,0,0,0,6,0,2,0,2,0,0,0,4,0,0,0
9 - Χαλκιδικής,63 E.T. Δήμου Κασσάνδρας,466,243,5,0,5,238,66,11,19,2,5,7,74,7,11,18,27,1,5,0,1,2,0,0,30,3,3,0,19,3,31,9,2,1,1,6,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,9,1,1,5,2,0,2,1,0,0,0,0,0,0,1,0,0,0,0,13,1,2,1,1,0,0,0,2,0,0,0
9 - Χαλκιδικής,64 E.T. Δήμου Κασσάνδρας,513,253,7,2,9,244,44,13,7,2,3,7,129,46,13,29,26,0,13,0,4,0,7,0,19,2,1,0,12,3,3,1,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,14,4,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,1,2,0,2,0,0,0,4,0,0,0
9 - Χαλκιδικής,65 E.T. Δήμου Κασσάνδρας,607,339,2,0,2,337,61,14,9,5,3,9,180,27,18,66,43,2,16,0,4,2,8,2,13,0,2,0,10,0,8,1,3,0,0,0,7,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,19,1,1,4,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,12,3,2,2,4,0,0,0,11,0,0,0
9 - Χαλκιδικής,66 E.T. Δήμου Κασσάνδρας,272,162,2,3,5,157,41,9,15,1,3,5,58,9,8,17,17,1,7,0,1,2,2,0,25,0,1,0,13,11,4,0,0,2,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,1,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,0,3,0,0,0
9 - Χαλκιδικής,67 E.T. Δήμου Κασσάνδρας,288,167,0,0,0,167,51,13,6,1,5,4,57,14,11,8,15,1,5,0,1,0,4,0,26,1,0,2,7,13,4,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,3,1,1,0,0,1,5,1,1,0
9 - Χαλκιδικής,68 E.T. Δήμου Κασσάνδρας,493,280,2,1,3,277,82,26,10,1,18,3,121,31,35,17,9,3,19,1,4,2,7,1,18,1,1,1,10,4,2,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,10,0,1,3,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,1,1,0,2,0,0,0,6,0,0,0
9 - Χαλκιδικής,69 E.T. Δήμου Κασσάνδρας,418,252,7,5,12,240,58,16,6,1,11,2,110,15,23,25,21,3,8,0,3,0,3,0,18,0,0,0,9,3,7,2,0,1,0,2,2,2,0,0,0,0,1,0,0,1,2,0,0,1,1,0,16,3,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,4,1,1,1,0,0,0,9,4,0,0
9 - Χαλκιδικής,70 E.T. Δήμου Κασσάνδρας,434,271,7,2,9,262,43,16,3,1,4,3,158,23,24,31,65,1,8,1,2,0,2,2,18,2,2,1,6,5,2,1,0,0,0,1,11,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,10,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,2,0,1,0,0,0,2,0,0,0
9 - Χαλκιδικής,71 E.T. Δήμου Κασσάνδρας,435,242,1,1,2,240,48,15,14,1,6,5,121,33,9,36,33,3,8,0,0,0,4,3,23,2,1,0,8,12,4,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,3,2,0,0,0,1,0,2,0,0,0,2,0,0,0,0,10,2,3,0,1,0,0,0,7,0,0,0
9 - Χαλκιδικής,72 E.T. Δήμου Κασσάνδρας,488,283,5,0,5,278,57,12,13,3,2,4,141,4,30,84,12,1,19,1,4,0,9,2,16,1,0,0,0,10,5,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,2,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,0,2,0,2,0,0,0,13,0,0,0
9 - Χαλκιδικής,73 E.T. Δήμου Κασσάνδρας,493,331,23,2,25,306,68,15,17,6,6,0,156,0,13,20,77,25,6,0,0,0,5,0,24,0,0,1,6,16,2,0,0,0,1,0,3,0,1,1,0,0,5,0,1,3,0,0,0,0,0,0,17,3,2,2,4,1,0,0,0,0,1,1,0,0,0,0,0,0,0,14,3,1,0,4,3,0,0,6,3,1,0
9 - Χαλκιδικής,74 E.T. Δήμου Κασσάνδρας,495,298,4,6,10,288,46,9,9,4,2,3,160,15,10,108,12,3,22,1,3,1,4,5,12,0,0,1,1,10,2,1,0,0,1,0,9,0,0,9,0,0,1,0,1,0,1,0,0,0,0,1,12,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,3,2,4,1,0,1,4,0,1,0
9 - Χαλκιδικής,75 E.T. Δήμου Κασσάνδρας,489,287,2,1,3,284,41,6,11,2,2,2,144,20,31,41,28,1,14,1,3,1,4,1,34,0,0,3,7,24,3,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,16,2,1,5,3,0,1,0,0,0,4,0,0,0,1,0,0,0,0,13,6,2,3,2,0,0,0,8,0,0,0
9 - Χαλκιδικής,76 E.T. Δήμου Κασσάνδρας,500,271,3,1,4,267,64,10,11,5,4,5,124,33,21,32,20,2,18,0,3,2,6,0,23,0,0,0,6,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,2,4,0,0,0,8,0,0,0
9 - Χαλκιδικής,77 E.T. Δήμου Κασσάνδρας,397,216,1,0,1,215,30,13,6,1,2,4,102,7,23,35,27,1,15,0,3,1,6,0,21,0,0,0,15,6,3,2,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,0,1,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,18,3,7,0,2,0,0,0,3,0,0,0
9 - Χαλκιδικής,78 E.T. Δήμου Κασσάνδρας,490,247,5,5,10,237,40,6,8,2,3,8,121,21,22,37,26,1,8,1,1,0,3,0,30,0,2,0,7,19,1,1,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,3,1,1,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,15,0,7,3,2,0,0,0,3,0,0,0
9 - Χαλκιδικής,79 E.T. Δήμου Νέας Προποντίδας,553,341,3,2,5,336,78,21,16,8,7,1,102,31,14,5,35,1,25,3,5,0,7,3,62,0,1,0,0,59,9,3,1,0,1,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,29,4,0,2,3,1,0,0,0,0,4,0,0,0,1,0,0,0,0,12,1,8,0,3,0,0,0,6,0,0,0
9 - Χαλκιδικής,80 E.T. Δήμου Νέας Προποντίδας,525,334,2,3,5,329,73,13,20,4,9,3,93,31,12,6,23,4,17,0,3,0,0,0,86,0,1,0,4,79,8,3,0,1,0,0,1,1,0,0,0,0,0,0,0,0,5,1,0,0,0,0,16,7,0,3,1,1,2,1,0,0,1,0,1,0,0,0,0,0,0,19,3,4,0,0,0,0,0,8,4,3,0
9 - Χαλκιδικής,81 E.T. Δήμου Νέας Προποντίδας,553,350,3,2,5,345,112,28,22,6,11,13,85,17,26,4,24,1,22,3,2,1,7,3,74,0,1,0,1,71,3,1,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,5,0,1,3,3,0,0,0,0,2,2,0,0,2,0,0,0,1,10,2,1,1,2,0,1,0,10,5,1,0
9 - Χαλκιδικής,82 E.T. Δήμου Νέας Προποντίδας,553,358,8,1,9,349,96,20,26,7,10,6,98,34,12,5,25,1,16,0,2,1,7,2,91,0,1,0,1,88,11,1,0,2,0,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,1,0,3,3,0,0,0,0,0,2,0,0,0,1,0,0,0,0,14,2,1,4,2,0,0,0,4,0,1,1
9 - Χαλκιδικής,83 E.T. Δήμου Νέας Προποντίδας,520,314,0,1,1,313,79,13,22,10,7,5,83,31,14,3,22,1,13,0,3,0,5,1,83,0,0,0,1,2,13,3,1,6,0,1,6,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,15,0,0,2,4,2,0,0,0,0,3,0,0,0,0,0,0,0,0,9,3,1,2,0,0,0,0,7,0,0,0
9 - Χαλκιδικής,84 E.T. Δήμου Νέας Προποντίδας,519,338,8,1,9,329,90,26,21,3,15,3,121,47,14,8,39,1,16,2,3,1,5,1,68,2,0,0,0,60,8,5,0,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,1,2,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,9,2,2,1,0,0,0,0,3,1,1,0
9 - Χαλκιδικής,85 E.T. Δήμου Νέας Προποντίδας,526,306,5,2,7,299,76,14,16,7,9,4,77,28,15,7,13,1,10,3,1,0,6,0,84,1,0,2,4,71,12,5,1,1,2,0,6,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0,15,3,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,11,3,1,3,0,0,0,0,6,1,0,1
9 - Χαλκιδικής,86 E.T. Δήμου Νέας Προποντίδας,520,335,3,1,4,331,93,19,24,10,12,9,108,38,13,5,27,0,13,0,4,3,5,1,67,1,0,0,0,62,12,3,0,0,0,3,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,14,3,0,1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,11,1,2,2,1,0,0,0,1,0,0,0
9 - Χαλκιδικής,87 E.T. Δήμου Νέας Προποντίδας,517,334,4,1,5,329,80,20,22,4,6,3,86,35,19,9,13,3,17,1,2,1,8,0,94,0,2,1,1,87,7,2,0,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,5,0,4,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,13,2,4,3,2,0,0,0,3,0,0,0
9 - Χαλκιδικής,88 E.T. Δήμου Νέας Προποντίδας,480,341,3,1,4,337,67,14,11,6,14,6,138,34,24,4,50,1,12,0,3,1,2,0,66,0,2,0,1,59,9,4,1,1,0,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,16,4,3,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,11,3,2,1,6,0,0,0,5,0,0,0
9 - Χαλκιδικής,89 E.T. Δήμου Νέας Προποντίδας,557,353,0,0,0,353,92,20,22,3,8,6,126,26,14,11,37,4,11,0,1,0,4,0,66,0,0,0,2,56,10,5,1,1,0,0,5,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,22,4,1,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,2,3,0,1,0,0,0,3,0,0,0
9 - Χαλκιδικής,90 E.T. Δήμου Νέας Προποντίδας,458,304,4,3,7,297,88,17,24,3,5,8,104,43,18,8,23,5,17,0,1,1,11,0,40,0,0,0,0,0,3,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,6,2,1,5,1,1,0,1,0,0,0,0,0,0,0,0,0,0,10,1,4,2,1,0,0,0,4,0,0,0
